area_type,availability,location,size,society,total_sqft,bath,balcony,price
6,Ready To Move,Bannerghatta Road,2,SNity S,1260,2,2,70
6,Ready To Move,Vittasandra,2,Prlla C,1934,2,0,90
6,Ready To Move,Malleshpalya,2,u,1060,2,1,40
6,Ready To Move,Kasavanhalli,3,HMonymp,1476,3,1,95
6,Ready To Move,Murugeshpalya,2,Rallaa ,1185,2,1,85
6,Ready To Move,Channasandra Layout,3,Aconyit,1265,2,1,82
2,Unavailable ,"Near Electronic City, ",4,u,3200,5,1,150
6,Ready To Move,Virat Nagar,2,u,1196,2,2,56.81
2,Ready To Move,EPIP Zone,2,u,1280,2,1,69
10,Ready To Move,Marathahalli,4,u,800,4,2,86
2,Ready To Move,Hulimavu,2,VisicCl,1175,2,0,45
2,Ready To Move,Kacharakanahalli,3,u,1850,3,3,98
10,Ready To Move,Indira Nagar,4,u,2400,4,2,525
6,Ready To Move,Whitefield,2,Pae 1ov,1195,2,1,70
6,Ready To Move,Ulsoor,3,u,2000,3,3,185
7,Ready To Move,Veerannapalya,7,u,600,4,0,100
10,Unavailable ,Hebbal Kempapura,4,u,800,5,3,155
6,Ready To Move,Hosur Road,2,Collsrn,1180,2,2,36.5
6,Ready To Move,Jakkur,2,Elidet ,1050,2,1,49.87
2,Unavailable ,Electronic City,3,u,1400,2,1,40.44
10,Unavailable ,Bagalakunte,4,u,2360,4,2,150
6,Ready To Move,Banashankari stage 2,2,u,1030,2,1,77.25
6,Ready To Move,Doddanakundi Industrial Area 2,2,u,1512,1,2,65.01
2,Ready To Move,Subramanyapura,2,Prldsri,929,2,1,48
6,Ready To Move,Jigani,3,DLhtsen,1252,3,3,61
2,Ready To Move,Green Glen Layout,3,Soionar,1485,3,2,115
6,Ready To Move,Electronics City Phase 1,3,Courf T,1124,2,2,55
10,Ready To Move,TC Palaya,6,u,2400,6,3,370
2,Ready To Move,Indira Nagar,3,u,1407,3,1,120
6,Unavailable ,Hennur Road,3,Puachal,1482,2,3,97
6,Ready To Move,Sector 7 HSR Layout,2,u,1163,2,1,98.86
6,Ready To Move,Jalahalli,3,BrardCo,1570,3,2,140
6,Unavailable ,Whitefield,3,BrlisCo,3480,4,0,284
6,Unavailable ,Chandapura,1,SuVue S,520,1,1,14.04
6,Ready To Move,OLd Gurappanapalya,3,SoliaMa,2000,3,2,160
6,Ready To Move,Prithvi Layout,2,Prlmsge,1352,2,2,75
6,Unavailable ,Electronic City,2,Prarkun,1152,2,1,65
2,Unavailable ,"ECC Road, Whitefield, ",3,u,1575,3,2,93
6,Ready To Move,Hegde Nagar,3,SoitaCa,1965,4,2,125
2,Ready To Move,Ramanjaneyanagar,3,Siite E,1300,2,2,70
10,Ready To Move,Sarjapur  Road,4,u,1,4,0,120
6,Unavailable ,Marathahalli,2,u,957,2,1,47
6,Ready To Move,Hoskote,3,Thiced ,1740,3,3,60
10,Ready To Move,Kanakpura Road,5,u,1080,6,3,65
6,Ready To Move,Neeladri Nagar,2,u,1060,2,0,35
7,Ready To Move,Chikkadunnasandra,2,u,975,2,2,50
6,Unavailable ,Ramamurthy Nagar,2,u,1150,2,2,51
6,Ready To Move,Whitefield,3,u,1738,2,3,79
6,Unavailable ,Bommanahalli,3,u,1250,3,2,55
2,Ready To Move,Bannerghatta Road,3,Dhncyud,1788,3,2,90
6,Unavailable ,Kanakapura,2,GoityEt,1151,2,1,59
6,Ready To Move,Uttarahalli,3,Evood S,1300,2,2,60
6,Ready To Move,Garudachar Palya,2,u,1150,2,1,52.8
6,Ready To Move,Akshya Nagar,2,u,1380,2,1,75
6,Unavailable ,Hebbal,3,Raard B,1645,3,2,117
6,Ready To Move,Babusapalaya,2,u,1141,2,1,45.9
6,Ready To Move,7th Phase JP Nagar,2,BriumMi,1175,2,2,82.5
6,Ready To Move,Banashankari Stage V,3,u,1355,2,1,61
2,Ready To Move,Dasarahalli,2,Syonyph,1150,2,0,70
6,Unavailable ,Indranagar  100ft road defence colony,5,u,5800,5,0,80
2,Ready To Move,Canara Bank Colony,2,u,1000,2,2,45
6,Unavailable ,Balagere,2,Soresea,1007,2,1,65
6,Ready To Move,Wajid layout thanisandra,4,u,3000,5,2,100
6,Ready To Move,Kothanur,3,u,1436,3,3,70
6,Ready To Move,Marathahalli,4,PueraRi,4000,4,3,220
2,Ready To Move,Somasundara Palya,3,ManceEl,2372,3,0,140
10,Ready To Move,R.T. Nagar,6,u,1500,6,0,240
6,Unavailable ,BTM Layout,3,u,1797.57,3,2,10
10,Ready To Move,Rajaji Nagar,2,u,1200,2,0,150
6,Unavailable ,Rayasandra,2,u,1016,2,1,58
6,Ready To Move,Dodda Nekkundi,2,u,1100,2,2,48
6,Ready To Move,B Channasandra,2,PrncyRe,1080,2,1,45
6,Ready To Move,Electronic City,2,GMown E,1070,2,1,60
6,Ready To Move,Kadubeesanahalli,3,PrpiaSr,1532,3,1,115
6,Ready To Move,Hennur,2,MDncyhi,1040,2,2,42.12
10,Ready To Move,Laxmi Sagar Layout,3,Pudgear,3100,3,3,250
6,Unavailable ,Tumkur Road,2,Coowsri,1076,2,0,48.905
6,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,51.6
10,Ready To Move,Rajaji Nagar,2,u,1160,1,0,163
6,Ready To Move,ITPL,4,u,3262,5,2,205
10,Ready To Move,Achins Road,7,u,2100,7,0,410
2,Ready To Move,Uvce Layout,2,u,1190,2,2,100
6,Ready To Move,Panduranga Nagar,3,SApusnu,1827,3,3,100
6,Ready To Move,HRBR Layout,2,Srayatr,1210,2,1,75
6,Ready To Move,New Thippasandra,3,Srmitev,1500,3,3,95
6,Ready To Move,Rachenahalli,2,u,1050,2,2,53.5
6,Unavailable ,Hebbal,2,Oztarol,1251,2,1,88.73
6,Ready To Move,HSR Layout,3,RotatHa,1600,2,2,115
6,Unavailable ,Electronic City,2,Prarkun,1128,2,1,65.5
6,Ready To Move,Budigere,3,PrityTr,1820,3,2,93
6,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,159
6,Ready To Move,Raja Rajeshwari Nagar,3,Dehts H,1510,2,3,59
6,Ready To Move,Hoodi,3,SMaxyay,1925,2,3,114
10,Ready To Move,Hennur Road,3,LGapeon,2651,2,2,225
6,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,147
6,Ready To Move,Kumaraswami Layout,2,GancyRe,1000,2,2,36
10,Ready To Move,KR Puram,3,Salle F,1752,3,2,145
6,Ready To Move,Sahakara Nagar,2,ArrdsOr,960,2,3,56
6,Ready To Move,Gattigere,2,Vaw 2il,1180,2,2,63
2,Ready To Move,Benson Town,3,Fants A,2270,3,1,180
2,Ready To Move,NRI Layout,2,u,650,2,0,59
6,Ready To Move,Lakshminarayana Pura,2,u,1200,2,1,75
6,Ready To Move,Bisuvanahalli,3,Prityel,1180,2,1,46
6,Unavailable ,Roopena Agrahara,3,u,1300,3,2,47
2,Ready To Move,Bannerghatta Road,2,u,1157,2,0,40
6,Unavailable ,Kanakpura Road,3,PrarePa,1300,3,2,69
6,Ready To Move,Banashankari Stage III,3,Pridsi ,1305,2,1,59
6,Ready To Move,Hegde Nagar,3,SoisoCa,2006,4,2,196
6,Ready To Move,Jakkur,2,BrdgeNo,1290,2,1,80
6,Ready To Move,Hoskote,2,VRrtsa ,1170,2,3,45
10,Ready To Move,Cottonpet,4,u,971,2,2,135
6,Ready To Move,Yelachenahalli,2,Coona A,1400,2,3,78
6,Ready To Move,Lakshminarayana Pura,2,RothaVa,1200,2,2,75
2,Ready To Move,Kamakshipalya,3,Viaxy G,1155,2,0,60
2,Ready To Move,Hormavu,3,Cadel C,1725,3,2,85
6,Unavailable ,Kanakpura Road,2,PrarePa,700,2,1,40
2,Ready To Move,Yemlur,4,Epllan ,7000,5,0,2050
6,Unavailable ,Hoodi,2,GoAirej,1112,2,1,88
6,Ready To Move,Somasundara Palya,2,ManceEl,1178,2,0,78
6,Unavailable ,Badavala Nagar,2,DNncasa,1274,2,1,81
6,Ready To Move,Doddathoguru,2,Vabow R,915,2,1,32
10,Ready To Move,6th Phase JP Nagar,8,u,1650,6,2,135
6,Ready To Move,Hosur Road,1,Collsrn,760,1,2,21.28
2,Ready To Move,Maragondanahalli,3,ArnzaFi,1540,3,2,68
6,Ready To Move,P&T Layout,2,u,1206,2,3,38.5
6,Ready To Move,Basavanna Nagar,3,Itala A,1645,3,2,95
10,Ready To Move,Canara Bank Layout,4,u,1200,4,2,170
10,Ready To Move,singapura paradise,4,u,1200,4,1,140
6,Ready To Move,Nehru Nagar,4,Undge T,2342,3,2,115
6,Ready To Move,Kannur,3,u,1200,2,1,55
6,Ready To Move,Yelenahalli,2,MDoseim,1056,2,2,33
10,Ready To Move,Raja Rajeshwari Nagar,8,u,4800,8,0,225
6,Ready To Move,Kanakpura Road,3,u,1450,3,3,54.3
6,Unavailable ,Thirumenahalli,2,MNtha A,1161,2,2,36.69
6,Ready To Move,Dollars Colony,2,Koowsis,1097,2,3,65
2,Ready To Move,Uttarahalli,2,Gaent R,850,2,2,35
6,Ready To Move,Green Glen Layout,3,Soionar,1715,3,2,115
6,Ready To Move,Basavangudi,3,Shntsad,2300,3,0,317
6,Ready To Move,Electronic City,2,GMown E,1200,2,1,59
6,Unavailable ,8th Phase JP Nagar,2,u,1080,2,2,38
6,Ready To Move,Kasavanhalli,2,u,1200,2,1,50.3
10,Ready To Move,4th Block Koramangala,4,u,2400,4,0,550
6,Ready To Move,Banashankari,3,Sriseva,1400,2,1,78
10,Ready To Move,Whitefield,4,Vastael,1500,4,3,200
7,Unavailable ,Kanakpura Road,1,Roiti A,381,1,0,19.695
6,Ready To Move,Marathahalli,2,u,1230,2,1,57
2,Ready To Move,Kalyan nagar,3,SSonsvi,1640,3,3,88
6,Ready To Move,Banashankari,3,Bregae ,1700,3,2,125
6,Ready To Move,Bommasandra,3,Niara S,1478,2,0,44
6,Ready To Move,Defence Colony,4,Masta A,6600,4,0,986
6,Ready To Move,Banashankari,2,u,1020,2,2,40.79
10,Ready To Move,Nagarbhavi,2,u,1200,2,1,150
2,Ready To Move,Yelahanka,3,u,1275,2,2,95
2,Ready To Move,Cambridge Layout,4,u,1600,3,1,165
6,Ready To Move,Kanakapura,2,SPavenc,1110,2,2,38.85
6,Ready To Move,Uttarahalli,3,Baveles,1627.86,3,2,88
2,Ready To Move,Byagadadhenahalli,2,VBavaai,620,2,1,22
10,Ready To Move,Whitefield,4,Prrry M,3004,4,2,285
6,Unavailable ,Hosa Road,2,Pamesy ,1133,2,1,52
6,Ready To Move,Hennur Road,2,Gaodsch,1182,2,2,82.5
6,Ready To Move,Tumkur Road,3,SosonGa,1500,3,3,100
6,Ready To Move,Hebbal Kempapura,4,GonumPl,3900,5,0,360
6,Ready To Move,Marathahalli,2,Srconor,1200,2,2,58
6,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,1,48.79
6,Ready To Move,Malleshwaram,3,Sariaat,2215,0,0,293
2,Ready To Move,Jayanagar,2,u,900,2,2,110
2,Ready To Move,Amruthahalli,2,NCondia,1100,2,1,45
6,Ready To Move,Kengeri Satellite Town,2,Mameser,635,1,1,22
6,Ready To Move,Ardendale,4,AWharde,2062,3,0,140
2,Ready To Move,Thanisandra,3,G conTh,1874,4,1,130
10,Unavailable ,Vidyaranyapura,4,u,600,3,2,78
6,Unavailable ,Old Madras Road,2,Saesttt,1171,2,2,75
6,Ready To Move,Sarjapur,3,u,2020,3,3,85
6,Unavailable ,8th Phase JP Nagar,2,u,1059,2,2,34.5
6,Ready To Move,Panathur,3,Saite G,1315,2,1,59.1
6,Ready To Move,Jakkur,3,BrdgeNo,1760,3,2,110
2,Ready To Move,Sampangi Rama Nagar,2,u,1200,2,1,125
6,Ready To Move,Hennur Road,3,Koagati,1192,2,1,62
6,Unavailable ,Hebbal,3,Raard B,1645,3,2,121
6,Ready To Move,Whitefield,2,Veales ,1250,2,2,72
6,Unavailable ,Whitefield,1,Oreldhi,524,1,0,34.385
6,Ready To Move,Whitefield,2,u,1340,2,1,77
2,Ready To Move,Cooke Town,3,u,2388,4,3,239
6,Unavailable ,Hosa Road,2,Sosisic,1369.1,2,1,104
6,Ready To Move,Jalahalli West,2,u,1355,2,3,75
2,Ready To Move,Bannerghatta Road,2,u,1150,2,2,65
6,Unavailable ,Kanakapura,3,GoityEt,1938,3,3,113
6,Unavailable ,Begur Road,4,u,2462,4,3,124
6,Ready To Move,Budigere,3,PrityTr,1636,3,2,85
6,Ready To Move,Akshaya Nagar,3,DLhtsnd,1430,2,2,75
6,Ready To Move,BEML Layout 5th stage,3,u,2000,3,2,85
7,Unavailable ,Electronic City Phase II,3,MJtroty,993,2,2,50
10,Ready To Move,Laggere,4,u,1260,4,1,150
6,Ready To Move,Kanakpura Road,3,u,1700,3,3,88
6,Ready To Move,Yelahanka,2,Shana S,1270,2,2,78
10,Unavailable ,Anjanapura,3,u,1500,3,1,121
2,Ready To Move,Koramangala,3,u,2300,3,3,290
10,Unavailable ,Hunasamaranahalli,4,EmardBo,7500,4,2,900
6,Ready To Move,Marathahalli,3,u,1650,3,3,86.45
6,Ready To Move,Panathur,2,Suriaa ,1109,2,1,63
6,Ready To Move,Pragathi Nagar,2,Metrais,1280,2,1,49.75
2,Ready To Move,Sarjapur,4,u,2885,3,1,185
10,Ready To Move,Banashankari,9,u,1200,9,1,145
10,Ready To Move,Devanahalli,3,Prowser,1600,3,2,180
6,Ready To Move,Kothanur,3,u,1462,3,3,71
6,Unavailable ,Marathahalli,1,Unezes ,607,1,1,35
6,Ready To Move,Kammasandra,2,u,930,2,0,25
10,Unavailable ,Varthur,4,u,4500,5,2,300
10,Ready To Move,Sahakara Nagar,5,u,1200,5,0,160
6,Ready To Move,Malleshwaram,3,u,2600,3,1,237
6,Ready To Move,JP Nagar,4,u,3000,4,2,140
6,Unavailable ,Electronic City Phase II,3,Coomee ,1418,3,2,52.47
2,Ready To Move,Ramesh Nagar,2,u,4200,1,2,160
2,Ready To Move,EPIP Zone,2,ValiaCa,1125,2,1,65
6,Ready To Move,CV Raman Nagar,3,Pu270a ,1825,3,2,126
6,Ready To Move,Whitefield,2,Veales ,1320,2,3,79.5
2,Ready To Move,JP Nagar,4,u,3000,4,2,140
6,Ready To Move,HAL 2nd Stage,3,MamalPr,1490,2,2,300
10,Ready To Move,8th block Koramangala,4,u,1650,3,1,300
6,Unavailable ,Whitefield,2,Oreldhi,750,2,1,52.7
6,Unavailable ,Yelahanka,3,Masser ,1400,2,2,80.54
6,Ready To Move,Sathya Sai Layout,4,Prowshi,4104,4,3,360
2,Ready To Move,Rajaji Nagar,4,u,5000,4,0,375
10,Ready To Move,Mahadevpura,5,u,3295,4,2,260
10,Ready To Move,A Narayanapura,4,u,1150,3,1,110
10,Unavailable ,Whitefield,3,u,1200,3,1,61.96
2,Ready To Move,Poorna Pragna Layout,2,Pathira,965,2,2,48
10,Ready To Move,Gottigere,1,u,812,1,1,26
6,Ready To Move,KR Puram,2,HovasTe,1100,2,2,43
6,Ready To Move,Whitefield,2,SSthamh,1180,2,2,41
6,Ready To Move,HSR Layout,2,NRosete,1145,2,2,48
6,Ready To Move,Haralur Road,2,u,1027,2,1,44
6,Unavailable ,Silk Board,2,u,1215,2,2,49.85
10,Ready To Move,Hegde Nagar,2,u,1200,2,0,75
6,Ready To Move,Kenchenahalli,2,AriosPa,1015,2,2,58
10,Unavailable ,Kaggalipura,3,AxvamTa,2400,3,1,165
10,Ready To Move,Whitefield,4,Prrry M,3000,4,3,306
2,Ready To Move,7th Phase JP Nagar,3,u,3300,4,3,160
6,Ready To Move,Puttanahalli,2,u,1076,2,2,52
6,Unavailable ,JP Nagar,2,Shestut,1300,2,1,109
2,Ready To Move,Hebbal Kempapura,2,Goateds,1300,2,2,102
6,Unavailable ,Hosa Road,3,Sosisic,1512,3,1,123
7,Unavailable ,Bhoganhalli,3,Rosha I,1053.4,3,1,88.91
6,Ready To Move,Yeshwanthpur,1,VSlistr,540,1,0,41.745
6,Ready To Move,Hormavu,2,NStusD ,1153,2,1,65
10,Ready To Move,Virat Nagar,2,u,2080,2,1,150
6,Ready To Move,Hulimavu,2,RatosAr,1255,2,2,69
2,Ready To Move,Bannerghatta Road,4,u,2835,5,0,260
6,Ready To Move,Marathahalli,3,PueraRi,1583,3,3,109
6,Ready To Move,Kundalahalli Colony,2,Goourta,1505,2,2,90
6,Ready To Move,Kathriguppe,3,u,1365,2,2,75.08
10,Ready To Move,Dwarka Nagar,3,u,1200,3,3,95.75
6,Ready To Move,Amblipura,3,IDldsin,1810,4,3,148
2,Ready To Move,Magadi Road,1,u,440,1,0,35
6,Ready To Move,Subramanyapura,2,Mayne A,975,2,1,63
6,Ready To Move,Doddagubbi,2,u,1250,2,3,39
6,Ready To Move,Gopalkrishna Nagar,3,MJarlPe,1530,2,1,97
6,Ready To Move,Kereguddadahalli,3,DSdorSp,1300,2,2,39
6,Ready To Move,Channasandra,2,u,1115,2,1,40
6,Ready To Move,Sarjapur  Road,2,SJityaz,1308,2,1,83
6,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,47
6,Ready To Move,Uttarahalli,3,u,1490,2,2,59.6
10,Ready To Move,Bannerghatta Road,4,u,10000,4,0,450
6,Unavailable ,Sarjapur  Road,3,Brareio,1592,3,1,91
6,Unavailable ,Rajaji Nagar,2,Puwerun,1222,2,0,112
6,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1267,2,2,42.85
6,Ready To Move,Balagere,1,Soresea,656,1,1,53
10,Ready To Move,Dodda Nekkundi,4,Adstah ,3400,4,3,530
2,Ready To Move,Garudachar Palya,4,NatanNi,4500,5,0,400
10,Unavailable ,Chandapura,2,u,1200,1,1,36
6,Ready To Move,Thanisandra,3,Soitya ,1698,3,2,102
2,Ready To Move,Tata Nagar,3,Karchru,1500,3,2,70
10,Ready To Move,Sunkadakatte,4,u,2000,5,0,80
6,Unavailable ,Electronic City,2,Prarkun,1152,2,1,65.75
6,Ready To Move,Raja Rajeshwari Nagar,1,u,550,1,0,21
6,Ready To Move,Pattandur Agrahara,2,ShaleSp,900,2,2,42
6,Unavailable ,Rajarajeshwari nagar,3,u,1410,2,2,45.12
2,Ready To Move,Akshaya Nagar,3,DLhtsnd,1419,2,3,73
6,Ready To Move,Amruthahalli,2,u,1200,2,1,55
6,Ready To Move,AECS Layout,3,u,1800,3,3,65
6,Ready To Move,Gottigere,2,Drente ,990,2,1,40
6,Ready To Move,Sarjapur  Road,2,u,1016,2,1,45
6,Ready To Move,Bannerghatta Road,2,Saavenc,1100,2,0,39
2,Ready To Move,Ramamurthy Nagar,4,u,850,2,1,65
6,Ready To Move,Whitefield,2,Rabow R,1095,2,1,35
6,Ready To Move,Rajarajeshwarinagar,3,u,2000,3,2,85
6,Ready To Move,Budigere,2,PrityTr,1444,2,2,70
6,Ready To Move,Whitefield,2,Nillsre,1415,2,3,67
10,Ready To Move,Jinkethimmanahalli,3,u,1500,2,1,130
6,Ready To Move,Daadys Gaarden Layout,3,InockHo,1600,3,3,72
6,Ready To Move,Whitefield,2,SMuilan,1105,2,1,41.36
6,Unavailable ,Electronic City,3,S2oveat,1225,3,0,45.03
6,Ready To Move,Frazer Town,3,Prook M,2560,3,2,265
6,Ready To Move,Kanakpura Road,2,u,1080,2,1,37.8
10,Ready To Move,Dasarahalli,7,u,2400,3,3,150
6,Unavailable ,Talaghattapura,3,Sodgere,1856,3,2,135
6,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,56
10,Ready To Move,Vishwapriya Nagar,6,u,2100,6,2,71
6,Ready To Move,Sarjapur  Road,2,Itvas S,1150,2,2,77
10,Ready To Move,Abbigere,5,u,1200,4,1,98
6,Unavailable ,Whitefield,3,Prtates,1650,0,0,113.19
6,Ready To Move,5th Phase JP Nagar,3,MBncele,1485,2,2,67
6,Ready To Move,Vimanapura,3,Inion P,2500,3,3,75
10,Unavailable ,Whitefield,2,u,1200,2,1,45
6,Unavailable ,Hennur Road,2,Koagati,1036,2,1,59.46
10,Ready To Move,Whitefield,4,VDe 1Du,3445,5,3,270
6,Ready To Move,Dodsworth Layout,2,Ciques ,1400,2,2,80
6,Unavailable ,Bommanahalli,2,u,1110,2,2,33
2,Ready To Move,Kodichikkanahalli,2,Saire S,1150,2,3,48
6,Ready To Move,Kenchenahalli,1,AriosPa,715,1,1,45
10,Ready To Move,Magadi Road,4,u,1200,4,0,130
10,Ready To Move,Rajaji Nagar,5,u,1200,3,1,260
6,Ready To Move,Jakkur,4,UNERA P,2283,4,2,130
10,Ready To Move,1st Stage Radha Krishna Layout,6,u,1790,5,1,250
6,Unavailable ,Hormavu,3,u,1453,2,2,43.58
2,Ready To Move,Nagarbhavi,3,Vaows M,1400,2,1,85
6,Ready To Move,Padmanabhanagar,3,Naasyak,1400,3,0,65
6,Ready To Move,Whitefield,3,Mithmn ,1700,3,1,140
6,Unavailable ,Kanakpura Road,3,PrityFa,1591,3,1,120
6,Ready To Move,Nagarbhavi,3,Deens G,1515,2,1,79
2,Ready To Move,Marathahalli,5,u,2500,3,3,200
6,Unavailable ,Chandapura,2,SunceEs,975,2,1,24.86
6,Ready To Move,Yeshwanthpur,3,IBityin,1382,2,2,76.18
10,Ready To Move,Nagasandra,7,u,1750,5,2,350
6,Ready To Move,Sector 1 HSR Layout,3,SodilDa,1533,3,2,150
6,Unavailable ,Cunningham Road,3,Lelia M,3815,3,1,763
6,Ready To Move,Amarjyothi Colony,2,u,1100,2,2,38
6,Ready To Move,Dairy Circle,4,Soeurri,3730,6,2,450
6,Ready To Move,Banashankari Stage II,3,u,1500,2,1,120
6,Ready To Move,Yelahanka,3,Rarthne,1391,2,2,64.5
6,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,42.92
2,Ready To Move,Chandapura,1,u,620,1,1,27
10,Ready To Move,MS Pallya,8,u,2400,9,3,350
10,Ready To Move,Vidyaranyapura,8,u,1200,7,3,130
2,Unavailable ,Whitefield,4,u,4827,4,3,400
6,Ready To Move,Kanakpura Road,3,JRrnauv,1482,3,3,60.98
6,Ready To Move,Whitefield,2,SBoneuc,1405,2,2,84.5
2,Ready To Move,Gunjur,2,Puide P,1190,2,2,40
6,Ready To Move,Harlur,2,Prncyrn,1174,2,1,78
10,Ready To Move,Seegehalli,2,u,1155,2,0,72
6,Unavailable ,Thanisandra,3,Bhe 2ko,1411,3,1,93.04
6,Ready To Move,Jalahalli West,2,Prntsax,745,2,0,50
6,Ready To Move,Kereguddadahalli,2,Jaood G,1000,2,2,30
6,Ready To Move,Jigani,2,DLhtsen,923,2,1,50
2,Ready To Move,Yeshwanthpur,2,IBityin,1000,2,2,32
6,Ready To Move,Battarahalli,2,Srhamra,1276,2,2,45
2,Ready To Move,Devasthanagalu,3,Grmes L,1460,3,2,70
6,Unavailable ,Yemlur,2,u,1355,2,1,95
6,Ready To Move,Avalahalli,1,ZeodsWo,833,1,1,49
2,Ready To Move,Bapuji Layout,8,u,1200,8,0,275
10,Ready To Move,Cambridge Layout,5,u,1750,5,1,450
6,Unavailable ,Ramamurthy Nagar,2,Vaharvi,1200,2,1,48
6,Ready To Move,Yeshwanthpur,1,IBityin,669,1,1,36.85
10,Ready To Move,7th Phase JP Nagar,3,u,2200,4,2,105
6,Unavailable ,Koramangala,3,SRidsrc,1594,3,0,125
6,Ready To Move,Kothanur,3,Somumys,1790,3,2,105
6,Ready To Move,NGR Layout,2,u,1020,2,1,45
10,Ready To Move,Doddanekundi,4,u,3250,5,1,850
6,Ready To Move,Vasantapura main road,2,u,1037,2,1,36.28
6,Ready To Move,Whitefield,3,SearkHy,1345,2,2,57
6,Ready To Move,Kodichikkanahalli,2,u,1070,2,3,43
6,Ready To Move,Sector 6 HSR Layout,4,u,3000,5,0,270
6,Ready To Move,Yeshwanthpur,3,IBityin,1385,2,2,76.18
6,Ready To Move,Kanakpura Road,2,Niacesa,1207,2,2,79.9
6,Ready To Move,Varthur,2,Caiseur,1140,2,3,55.5
2,Ready To Move,Basavanapura,2,Papusa ,1220,2,2,68
10,Ready To Move,CQAL Layout,4,u,3811,3,2,475
6,Ready To Move,Iblur Village,4,Emine P,3596,5,0,252
2,Ready To Move,Sarjapur  Road,3,Contsci,1965,3,3,120
2,Ready To Move,Koramangala,3,KHage G,1760,2,0,115
6,Unavailable ,Haralur Road,2,SNnia E,1225,2,1,70
6,Ready To Move,Marathahalli,2,u,1075,2,2,52.43
2,Ready To Move,Panathur,2,u,1000,2,1,68
6,Ready To Move,Hennur Road,3,SaireSa,1891,3,1,109
6,Ready To Move,Yelahanka,2,PuziaVe,1322,2,2,86
10,Ready To Move,Mathikere,3,u,1095,3,0,215
2,Ready To Move,Bellandur,4,Vaodssh,3600,4,0,260
6,Ready To Move,AECS Layout,2,Foncync,1045,2,1,36.58
6,Ready To Move,Venugopal Reddy Layout,3,Patust ,1545,3,3,85
6,Ready To Move,Thanisandra,3,G conTh,1996,3,2,135
6,Ready To Move,Brookefield,2,Gotaten,1125,2,2,70
6,Unavailable ,Mysore Road,3,PrntaEn,1560,3,1,115
6,Ready To Move,BEML Layout,3,u,2000,2,2,85
2,Ready To Move,Murugeshpalya,4,IBaveen,3100,4,2,310
2,Ready To Move,Lake City,2,Prdenth,780,2,1,35
10,Ready To Move,Lakshmipura,2,u,1350,2,1,110
6,Ready To Move,Sarjapur  Road,3,Adeatlm,2275,4,2,180
6,Ready To Move,Pragathi Nagar,2,DStra S,1350,2,2,41
6,Ready To Move,Haralur Road,3,NRowse ,1464,3,3,56
6,Ready To Move,Kanakpura Road,3,JRrnauv,1570,3,3,64.5
6,Ready To Move,Dasanapura,1,Tavenew,708,1,0,28.32
6,Ready To Move,Sarjapur  Road,3,Mades G,1680,3,1,160
6,Ready To Move,Hoodi,2,SMaxyay,1400,2,1,82
6,Ready To Move,Bellandur,2,GoncyRe,1310,2,2,72
2,Ready To Move,BTM Layout,6,u,3300,6,3,165
6,Unavailable ,Electronics City Phase 1,2,Shitt S,1175,2,1,57
2,Ready To Move,Chikkalasandra,3,V2avei ,1428,2,1,80
10,Ready To Move,Akshaya Nagar,4,u,750,4,2,62
6,Ready To Move,Whitefield,4,u,3252,4,3,280
6,Ready To Move,Haralur Road,2,u,1194,2,2,46
10,Ready To Move,Old Town,8,u,750,8,0,200
6,Unavailable ,8th Phase JP Nagar,2,u,1080,2,2,35
6,Ready To Move,Vijaya Bank Layout,3,u,1200,2,1,68
10,Unavailable ,Whitefield,2,u,1200,2,1,45
10,Ready To Move,Okalipura,5,u,1200,4,3,120
2,Unavailable ,Bommasandra Industrial Area,3,u,1320,2,1,38.13
6,Unavailable ,Badavala Nagar,3,DNncasa,1842,3,2,115
6,Ready To Move,Sector 2 HSR Layout,2,NDpalSe,1146,2,3,55
6,Unavailable ,Rachenahalli,1,AsNowre,440,1,1,28
6,Ready To Move,Sahakara Nagar,2,KPhtsei,1048,2,3,50
6,Ready To Move,Thanisandra,3,Soitya ,1801,3,1,115
6,Unavailable ,Hennur Road,2,Puachal,1232,2,1,69.61
6,Ready To Move,Whitefield,2,Viisear,1150,2,2,90
6,Unavailable ,Talaghattapura,3,Sodgere,1868,3,1,120
6,Unavailable ,Begur,3,Arera V,1445,2,2,47.1
6,Ready To Move,Hebbal Kempapura,3,Goateds,1466,2,3,140
2,Ready To Move,Harlur,3,u,1730,3,2,100
6,Unavailable ,JP Nagar,3,Pehtsa ,3860,3,2,402
6,Ready To Move,Somasundara Palya,2,ManceEl,1185,2,3,70
2,Ready To Move,Yeshwanthpur,3,u,3027,4,3,260
2,Unavailable ,Whitefield,4,u,2400,4,3,147
2,Ready To Move,Kaval Byrasandra,2,u,1185,2,1,49
6,Unavailable ,Hongasandra,2,u,1150,2,2,49
